brand,model,year,km_driven,fuel_type,transmission_type,mileage,selling_price
maruti,wagon r,2010,72000,cng,manual,26.6,175000
hyundai,creta,2015,41000,diesel,manual,19.67,1250000
honda,jazz,2011,46000,petrol,manual,18.2,450000
maruti,ertiga,2012,87000,diesel,manual,20.77,600000
audi,a4,2013,40670,diesel,automatic,15.2,1773999
hyundai,eon,2012,75000,lpg,manual,21.1,235000
nissan,micra,2013,86999,diesel,manual,23.08,350000
toyota,innova,2016,36000,diesel,automatic,11.36,1750000
volkswagen,vento,2013,64430,diesel,manual,20.54,520000
tata,indica,2012,65932,diesel,manual,22.3,195000
maruti,ciaz,2018,25692,petrol,manual,21.56,994999
honda,city,2012,60000,petrol,automatic,16.8,449000
maruti,swift,2015,64424,diesel,manual,25.2,560000
land,rover,2014,72000,diesel,automatic,12.7,2700000
land,rover,2012,85000,diesel,automatic,0.0,1750000
mitsubishi,pajero,2014,110000,diesel,manual,13.5,1500000
honda,amaze,2016,58950,diesel,manual,25.8,540000
maruti,swift,2017,25000,diesel,manual,28.4,599000
renault,duster,2014,77469,diesel,manual,20.45,634000
mercedes-benz,new,2014,78500,diesel,automatic,14.84,2800000
bmw,3,2014,32982,diesel,automatic,22.69,1855000
maruti,s,2015,55392,diesel,manual,23.65,825000
audi,a6,2015,55985,petrol,automatic,13.53,2350000
hyundai,i20,2010,45807,petrol,manual,18.5,187000
volkswagen,vento,2010,33000,petrol,automatic,14.4,285000
honda,city,2012,51920,petrol,manual,16.8,425000
nissan,micra,2012,54000,diesel,manual,23.08,425000
maruti,alto,2013,54000,petrol,manual,20.92,275000
honda,wrv,2018,37430,petrol,manual,17.5,990000
toyota,innova,2007,262000,diesel,manual,12.8,400000
renault,duster,2013,62000,diesel,manual,19.01,775000
toyota,corolla,2012,87615,petrol,manual,14.53,675000
mahindra,ssangyong,2013,72000,diesel,automatic,11.18,1250000
audi,a6,2010,35000,diesel,automatic,12.4,1150000
volkswagen,vento,2014,55431,petrol,manual,16.09,698000
maruti,wagon r,2009,83816,petrol,manual,14.0,185000
maruti,vitara,2018,50075,diesel,manual,24.3,863000
mahindra,kuv,2017,52000,petrol,manual,18.15,484999
mercedes-benz,m-class,2013,85000,diesel,automatic,11.74,2800000
volkswagen,polo,2013,62000,diesel,manual,22.07,500000
maruti,alto,2008,90000,petrol,manual,19.7,125000
tata,nano,2014,19698,petrol,manual,25.4,153000
mahindra,kuv,2017,22033,diesel,manual,25.32,558000
hyundai,i20,2014,35487,petrol,manual,18.5,474000
hyundai,elantra,2014,46374,petrol,automatic,14.62,885000
toyota,corolla,2016,52001,petrol,automatic,14.28,1011000
hyundai,elantra,2008,58005,diesel,manual,14.9,425000
toyota,innova,2012,70704,petrol,manual,11.25,1095000
hyundai,xcent,2014,75000,diesel,manual,24.4,385000
mahindra,thar,2012,75800,diesel,manual,16.55,550000
audi,a4,2015,13648,diesel,automatic,17.11,2143000
maruti,swift,2014,52000,diesel,manual,22.9,425000
maruti,swift,2014,53000,diesel,manual,17.8,330000
maruti,swift,2013,65650,diesel,manual,28.4,385000
hyundai,grand,2015,54000,petrol,manual,18.9,360000
volkswagen,vento,2015,39000,petrol,manual,15.04,399000
renault,kwid,2017,16542,petrol,manual,25.17,330000
hyundai,i10,2010,32000,petrol,manual,20.36,206999
nissan,x-trail,2010,121812,diesel,automatic,13.29,775000
maruti,zen,2010,39300,petrol,manual,18.2,225000
toyota,innova,2017,22000,diesel,manual,13.68,1650000
ford,figo,2010,72000,diesel,manual,20.0,275000
mercedes-benz,new,2015,58000,petrol,automatic,11.74,2670000
mercedes-benz,new,2011,65000,diesel,manual,15.8,1000000
tata,indica,2016,178000,diesel,manual,25.0,250000
audi,a4,2012,65664,diesel,automatic,16.55,1350000
honda,city,2007,63000,petrol,automatic,16.4,185000
mercedes-benz,c-class,2019,15369,diesel,automatic,0.0,3567000
maruti,ertiga,2016,63000,diesel,manual,24.52,815000
hyundai,creta,2018,13000,diesel,manual,22.1,1050000
porsche,cayenne,2008,73000,petrol,automatic,8.5,1450000
mahindra,xuv500,2015,55729,diesel,manual,15.1,965000
hyundai,i10,2012,45178,petrol,automatic,16.95,348000
nissan,terrano,2015,56066,diesel,manual,19.64,692000
honda,brio,2016,37300,petrol,automatic,16.5,646000
audi,a6,2014,56000,diesel,automatic,18.53,2950000
ford,fiesta,2008,111111,diesel,manual,17.8,200000
toyota,innova,2006,230000,petrol,manual,12.4,450000
toyota,innova,2012,104000,diesel,manual,12.8,1175000
hyundai,santro,2005,87591,petrol,manual,0.0,130000
maruti,swift,2012,95100,diesel,manual,22.9,375000
tata,zest,2017,70000,petrol,manual,17.57,450000
honda,amaze,2016,54944,petrol,manual,18.0,482000
ford,figo,2012,70337,diesel,manual,20.0,280000
maruti,ritz,2013,99638,diesel,manual,23.2,311000
honda,city,2009,52000,petrol,manual,17.8,325000
bmw,5,2011,75000,diesel,automatic,16.73,1390000
hyundai,i10,2009,95980,petrol,manual,20.36,225000
hyundai,grand,2016,16000,petrol,manual,18.9,575000
hyundai,santro,2007,73745,petrol,manual,17.0,210000
honda,amaze,2016,18949,petrol,manual,17.8,500000
toyota,fortuner,2014,107000,diesel,manual,13.0,1650000
audi,a6,2018,48367,diesel,automatic,17.68,3958000
ford,ecosport,2013,57000,diesel,manual,22.7,550000
mahindra,xuv500,2014,58000,diesel,manual,15.1,810000
honda,amaze,2015,30000,diesel,manual,25.8,350000
volkswagen,polo,2013,34212,diesel,manual,22.07,279000
hyundai,verna,2010,70002,diesel,manual,16.2,345000
maruti,wagon r,2016,62000,petrol,manual,18.9,445000
volkswagen,polo,2010,62001,petrol,manual,15.26,265000
hyundai,i20,2011,78958,diesel,manual,23.0,380000
hyundai,i20,2014,30180,petrol,manual,18.5,465000
datsun,go,2017,32851,petrol,manual,19.83,395000
audi,a4,2010,30000,diesel,automatic,14.94,980000
hyundai,i20,2009,66000,petrol,manual,17.0,270000
maruti,omni,2010,93850,petrol,manual,14.0,241000
toyota,etios,2014,53000,petrol,manual,17.71,390000
jaguar,xf,2011,78000,diesel,automatic,14.74,2400000
mahindra,xuv500,2012,65000,diesel,manual,16.0,575000
hyundai,verna,2014,40000,diesel,automatic,22.32,525000
toyota,innova,2017,30000,diesel,automatic,11.36,1925000
maruti,eeco,2017,38053,petrol,manual,15.1,391000
tata,nano,2014,25500,petrol,manual,25.4,215000
bmw,3,2015,56087,diesel,automatic,22.69,2075000
honda,civic,2010,71088,petrol,manual,13.5,335000
toyota,innova,2014,55000,diesel,manual,12.99,1111000
volvo,v40,2014,32700,diesel,automatic,23.3,2000000
nissan,micra,2016,39882,petrol,automatic,19.15,655000
bmw,5,2009,128000,petrol,automatic,10.8,700000
maruti,vitara,2016,55000,diesel,manual,24.3,750000
hyundai,santro,2005,102000,petrol,manual,17.0,85000
mercedes-benz,b,2014,53753,diesel,automatic,15.0,1675000
hyundai,verna,2018,10250,diesel,manual,22.0,1095000
maruti,wagon r,2011,43874,petrol,manual,18.9,245000
tata,nano,2017,32684,petrol,automatic,21.9,323000
mahindra,scorpio,2014,42000,diesel,manual,12.05,775000
mercedes-benz,new,2009,28352,petrol,automatic,11.7,935000
maruti,wagon r,2013,89900,cng,manual,26.6,325000
honda,cr-v,2007,47700,petrol,manual,10.8,525000
volkswagen,vento,2015,55000,diesel,automatic,21.21,725000
maruti,ciaz,2017,44285,petrol,manual,20.73,747000
mahindra,xuv500,2016,54000,diesel,automatic,16.0,1325000
maruti,ritz,2016,30232,petrol,manual,21.1,581000
maruti,alto,2014,88500,petrol,manual,24.07,260000
mercedes-benz,slc,2017,13372,petrol,automatic,19.0,5400000
hyundai,verna,2019,12645,petrol,automatic,17.0,1150000
maruti,alto,2010,94385,petrol,manual,19.7,160000
bmw,1,2015,31821,diesel,automatic,20.58,1722000
honda,jazz,2015,12000,petrol,automatic,19.0,600000
honda,civic,2012,88578,petrol,manual,13.5,395000
mercedes-benz,new,2014,44965,diesel,automatic,19.27,1795000
honda,amaze,2014,45044,diesel,manual,25.8,370000
maruti,swift,2016,34204,petrol,manual,22.0,543000
hyundai,santro,2008,80759,petrol,manual,17.0,167000
toyota,fortuner,2012,91235,diesel,manual,11.5,1349000
chevrolet,beat,2014,38800,petrol,manual,18.6,285000
skoda,rapid,2013,83000,diesel,manual,21.14,475000
maruti,ciaz,2018,41283,petrol,manual,20.73,990000
audi,rs5,2013,23000,petrol,automatic,11.05,3700000
bmw,3,2014,48000,diesel,automatic,21.76,2650000
audi,a4,2015,48214,diesel,automatic,17.11,2332000
maruti,swift,2016,35000,diesel,manual,22.9,625000
mercedes-benz,s,2010,35277,petrol,automatic,7.81,3000000
skoda,rapid,2016,54620,diesel,automatic,21.66,986000
skoda,superb,2012,136997,diesel,automatic,17.2,850000
hyundai,eon,2019,14322,petrol,manual,21.1,423000
volkswagen,polo,2012,65634,diesel,manual,22.07,350000
datsun,go,2016,6000,petrol,manual,20.63,250000
honda,brio,2013,33280,petrol,manual,19.4,239000
mercedes-benz,b,2013,29000,petrol,automatic,14.8,1125000
honda,city,2015,42831,diesel,manual,26.0,711000
toyota,innova,2016,90000,diesel,manual,12.99,1090000
maruti,swift,2017,24005,petrol,manual,20.4,620000
mahindra,xuv500,2012,32792,diesel,manual,15.1,790000
ford,ecosport,2014,147898,diesel,manual,22.7,442000
toyota,fortuner,2012,131765,diesel,manual,13.0,1350000
volkswagen,vento,2013,65000,diesel,automatic,21.5,625000
ford,figo,2010,66123,diesel,manual,20.0,210000
bmw,x5,2015,41000,diesel,automatic,15.3,4500000
mercedes-benz,new,2017,23550,diesel,automatic,19.27,3365999
honda,brio,2012,45000,petrol,manual,19.4,365000
hyundai,i10,2013,60000,petrol,manual,20.36,275000
mercedes-benz,glc,2016,44414,diesel,automatic,17.9,4250000
hyundai,grand,2019,1000,petrol,manual,18.9,650000
audi,a6,2012,62500,diesel,automatic,17.68,1900000
volkswagen,vento,2013,21000,petrol,automatic,14.4,445000
mini,countryman,2017,8525,diesel,automatic,16.6,2300000
hyundai,i20,2014,29000,diesel,manual,22.54,835000
audi,a6,2014,40000,diesel,automatic,17.68,2295000
chevrolet,beat,2012,88000,diesel,manual,25.44,150000
skoda,superb,2012,53537,petrol,automatic,13.7,689000
ford,fiesta,2006,216000,diesel,manual,17.8,145000
bmw,5,2014,51000,diesel,automatic,22.48,3350000
chevrolet,optra,2007,118500,petrol,manual,12.9,125000
volkswagen,polo,2012,63000,diesel,manual,22.07,420000
renault,lodgy,2015,25000,diesel,manual,19.98,675000
mercedes-benz,e-class,2014,37382,diesel,automatic,13.0,3200000
maruti,baleno,2017,24773,petrol,manual,21.4,750000
hyundai,verna,2012,62000,diesel,manual,22.32,459999
hyundai,i10,2017,52340,petrol,manual,19.81,404000
mahindra,scorpio,2016,56739,diesel,manual,15.4,1031000
land,rover,2018,36091,diesel,automatic,12.7,5576000
ford,figo,2010,120000,diesel,manual,20.0,260000
maruti,ertiga,2016,33000,diesel,manual,25.47,850000
honda,city,2007,60006,petrol,manual,0.0,295000
honda,amaze,2014,52000,diesel,manual,25.8,350000
hyundai,i10,2015,43571,petrol,manual,20.36,355000
honda,amaze,2013,50000,diesel,manual,25.8,325000
skoda,laura,2008,113000,diesel,manual,17.5,450000
renault,duster,2014,90000,diesel,manual,19.87,535000
mahindra,nuvosport,2017,29000,diesel,manual,17.45,650000
maruti,vitara,2016,20000,diesel,manual,24.3,900000
hyundai,i20,2016,61012,petrol,manual,18.6,600000
skoda,fabia,2009,87459,petrol,manual,14.7,275000
tata,indigo,2010,70500,petrol,manual,15.64,150000
audi,q3,2015,64103,diesel,automatic,15.73,1989999
skoda,octavia,2014,76000,petrol,automatic,14.7,1000000
toyota,etios,2014,104000,diesel,manual,23.59,300000
maruti,swift,2010,42001,petrol,manual,16.1,211000
mercedes-benz,b,2014,37245,petrol,automatic,14.8,1196000
honda,amaze,2013,45000,diesel,manual,27.4,325000
hyundai,verna,2012,117837,diesel,manual,22.32,475000
renault,duster,2014,30000,diesel,manual,20.46,595000
hyundai,creta,2015,27057,petrol,manual,15.29,815000
maruti,wagon r,2016,8500,petrol,automatic,20.51,422000
mercedes-benz,new,2010,30500,petrol,automatic,11.74,1050000
audi,a8,2012,56000,diesel,automatic,11.8,4500000
hyundai,i10,2012,44000,petrol,manual,19.81,290000
skoda,rapid,2017,10500,petrol,automatic,14.3,890000
skoda,superb,2017,26000,petrol,automatic,14.67,2600000
hyundai,i20,2018,25166,petrol,manual,17.19,822000
honda,amaze,2014,64000,diesel,manual,25.8,350000
maruti,wagon r,2004,61000,petrol,manual,18.9,125000
mahindra,verito,2013,107000,diesel,manual,21.03,370000
mercedes-benz,new,2018,29161,diesel,automatic,19.27,3940999
maruti,wagon r,2013,32000,petrol,manual,22.5,265000
nissan,terrano,2015,46173,diesel,manual,19.01,892000
maruti,swift,2013,47000,diesel,manual,17.8,409999
mini,cooper,2017,26327,petrol,automatic,16.82,3567000
ford,figo,2015,70436,diesel,manual,0.0,360000
tata,indica,2007,200000,diesel,manual,17.2,85000
chevrolet,beat,2016,60813,petrol,manual,18.6,332000
volkswagen,polo,2012,45000,diesel,manual,22.07,360000
maruti,swift,2016,64000,diesel,manual,22.9,680000
ford,figo,2012,41284,diesel,manual,20.0,250000
toyota,innova,2019,14165,diesel,automatic,11.36,1964000
hyundai,santa,2011,67000,diesel,automatic,11.72,700000
honda,city,2011,32572,petrol,manual,17.4,387000
hyundai,i20,2018,14960,petrol,manual,18.6,627000
mercedes-benz,new,2015,55980,diesel,automatic,19.27,1812000
chevrolet,beat,2013,74000,diesel,manual,25.44,265000
hyundai,i20,2015,56847,diesel,manual,22.54,720000
toyota,innova,2015,121374,diesel,manual,12.99,1430000
maruti,ertiga,2013,52000,diesel,manual,20.77,690000
toyota,innova,2014,118000,diesel,manual,12.8,1075000
hyundai,santro,2007,72000,petrol,manual,17.0,95000
honda,city,2016,33915,petrol,manual,17.8,809000
bmw,x1,2014,82002,diesel,automatic,17.05,1850000
hyundai,grand,2017,33000,diesel,manual,24.0,475000
maruti,ciaz,2016,34000,diesel,manual,28.09,844999
skoda,rapid,2012,55000,diesel,manual,20.5,350000
hyundai,accent,2006,160538,diesel,manual,13.1,180000
volkswagen,polo,2014,60000,diesel,manual,19.91,370000
honda,jazz,2017,49575,petrol,manual,18.7,717000
hyundai,i10,2010,83000,petrol,manual,19.81,175000
hyundai,tucson,2018,51346,diesel,automatic,16.38,2199000
toyota,innova,2017,43000,diesel,manual,13.68,1864999
maruti,omni,2011,35000,petrol,manual,19.7,185000
maruti,swift,2017,27872,petrol,manual,20.4,595000
hyundai,grand,2014,16514,petrol,manual,18.9,375000
maruti,swift,2012,120000,diesel,manual,22.9,375000
hyundai,verna,2008,143275,diesel,manual,22.0,260000
hyundai,santro,2006,99000,petrol,manual,0.0,175000
hyundai,i20,2010,52000,petrol,manual,17.0,280000
mercedes-benz,gle,2017,29819,diesel,automatic,11.57,6129000
mercedes-benz,new,2014,57000,diesel,manual,15.8,1800000
maruti,ritz,2014,88500,diesel,manual,23.2,434999
hyundai,creta,2016,28000,diesel,manual,19.67,1375000
maruti,a-star,2010,67000,petrol,manual,19.0,200000
renault,duster,2016,26000,diesel,manual,19.64,1000000
fiat,grande,2010,120000,diesel,manual,17.8,165000
bmw,x3,2017,51982,diesel,automatic,16.55,4577000
hyundai,i10,2010,36000,petrol,manual,20.36,325000
toyota,innova,2016,47000,diesel,manual,12.8,1280000
maruti,zen,2002,60000,petrol,manual,17.3,55000
maruti,swift,2018,31025,diesel,manual,28.4,715000
mahindra,scorpio,2013,105000,diesel,manual,12.05,700000
tata,zest,2017,121900,diesel,manual,22.95,375000
ford,ecosport,2017,22695,petrol,manual,18.88,850000
maruti,swift dzire,2012,73000,diesel,manual,23.4,434999
maruti,alto,2016,32227,petrol,manual,22.74,326000
honda,city,2011,55000,petrol,manual,17.0,421000
audi,q7,2018,11287,diesel,automatic,12.07,7036000
skoda,laura,2009,48000,diesel,automatic,17.0,295000
hyundai,verna,2012,54308,petrol,manual,17.1,428000
honda,city,2009,78442,petrol,automatic,16.8,357000
hyundai,i20,2013,46000,diesel,manual,21.9,311000
hyundai,i20,2014,45051,petrol,automatic,15.0,596000
volkswagen,vento,2011,69000,diesel,manual,20.54,470000
honda,city,2014,49000,petrol,manual,17.4,690000
tata,zest,2018,45000,diesel,manual,22.95,525000
bmw,5,2015,64000,diesel,automatic,18.48,2800000
maruti,wagon r,2009,60000,petrol,manual,18.9,135000
honda,jazz,2015,62178,petrol,manual,18.2,484999
volkswagen,jetta,2012,58006,diesel,manual,15.0,670000
hyundai,i10,2010,74000,petrol,manual,20.36,310000
mercedes-benz,new,2015,77771,diesel,automatic,19.27,1864000
hyundai,i10,2012,45275,petrol,manual,20.36,280000
toyota,innova,2016,48000,diesel,manual,13.68,2025000
audi,a6,2015,31652,diesel,automatic,17.68,2678000
toyota,innova,2010,109000,diesel,manual,12.99,826000
volkswagen,polo,2015,31978,petrol,manual,16.47,389000
maruti,alto,2011,70000,petrol,manual,20.92,210000
honda,city,2017,15000,petrol,automatic,18.0,1269000
tata,indigo,2013,59138,diesel,manual,17.0,258000
audi,a6,2014,61726,diesel,automatic,17.68,2077000
mercedes-benz,gla,2015,48000,diesel,automatic,17.9,2026000
hyundai,santro,2006,58000,petrol,manual,0.0,150000
maruti,swift,2011,60020,diesel,manual,17.8,250000
maruti,celerio,2014,77815,petrol,automatic,23.1,425000
mercedes-benz,gle,2017,29000,diesel,automatic,17.9,5700000
land,rover,2017,44000,diesel,automatic,12.7,4400000
volkswagen,vento,2011,108626,diesel,manual,20.54,365000
maruti,omni,2012,71791,petrol,manual,14.0,204999
honda,brio,2012,91931,petrol,manual,18.5,313000
tata,sumo,2000,158000,diesel,manual,14.07,150000
tata,indica,2012,91183,diesel,manual,18.0,285000
maruti,wagon r,2012,65000,petrol,manual,18.9,265000
mahindra,xuv500,2015,88428,diesel,manual,16.0,1060000
tata,indigo,2008,138000,diesel,manual,17.1,125000
maruti,ertiga,2018,18000,petrol,manual,16.02,825000
honda,accord,2011,60000,petrol,automatic,11.7,445000
maruti,swift dzire,2012,48000,diesel,manual,19.3,370000
ford,fiesta,2009,160000,diesel,manual,17.8,280000
honda,city,2008,40000,petrol,manual,17.7,180000
audi,a6,2014,51495,diesel,automatic,17.68,2195000
bmw,6,2011,30000,diesel,automatic,9.52,4900000
audi,q7,2017,97430,diesel,automatic,14.75,6267000
maruti,zen,2008,42496,cng,manual,26.3,140000
hyundai,i20,2012,83000,diesel,manual,23.0,550000
hyundai,i10,2009,37000,petrol,automatic,16.95,295000
honda,jazz,2016,28503,petrol,automatic,19.0,686000
maruti,swift,2015,76496,diesel,manual,25.2,615000
hyundai,i20,2011,79152,petrol,manual,18.5,330000
volkswagen,polo,2011,32000,petrol,manual,16.47,254999
maruti,alto,2009,35000,petrol,manual,19.7,150000
toyota,corolla,2004,105000,petrol,automatic,11.3,250000
maruti,alto,2006,56000,petrol,manual,19.7,140000
tata,manza,2012,73000,diesel,manual,21.12,340000
maruti,alto,2012,38000,petrol,manual,19.7,225000
skoda,octavia,2013,775000,diesel,automatic,19.3,750000
toyota,corolla,2008,80000,petrol,automatic,11.3,280000
hyundai,i20,2016,24973,petrol,manual,18.6,766000
maruti,vitara,2016,45000,diesel,manual,24.3,715000
honda,city,2010,87430,petrol,manual,17.0,350000
tata,indica,2014,133944,diesel,manual,18.0,350000
honda,amaze,2013,57000,diesel,manual,25.8,345000
hyundai,eon,2016,27904,petrol,manual,21.1,355000
bmw,3,2015,30717,diesel,automatic,21.76,2599000
hyundai,verna,2012,80000,diesel,manual,22.32,525000
tata,manza,2013,47304,diesel,manual,21.02,290000
